8-hour-bayer-650mg-tablet-extended-release|8-Hour Bayer 650mg Tablet, Extended Release|Aspirin|8-Hour Bayer|Tablet, Extended Release|650mg
a-p-l-10-000-units-vial-injectable|A.p.l. 10,000 UNITS/VIAL Injectable|Gonadotropin, Chorionic|A.p.l.|Injectable|10,000 UNITS/VIAL
a-p-l-20-000-units-vial-injectable|A.p.l. 20,000 UNITS/VIAL Injectable|Gonadotropin, Chorionic|A.p.l.|Injectable|20,000 UNITS/VIAL
a-p-l-5-000-units-vial-injectable|A.p.l. 5,000 UNITS/VIAL Injectable|Gonadotropin, Chorionic|A.p.l.|Injectable|5,000 UNITS/VIAL
a-t-s-2-solution|A/T/S 2% Solution|Erythromycin|A/T/S|Solution|2%
abacavir-sulfate-and-lamivudine-eq-600mg-base-300mg-tablet|Abacavir Sulfate and Lamivudine EQ 600mg BASE / 300mg Tablet|Abacavir Sulfate / Lamivudine|Abacavir Sulfate and Lamivudine|Tablet|EQ 600mg BASE / 300mg
abacavir-sulfate-and-lamivudine-eq-60mg-base-30mg-tablet-for-suspension|Abacavir Sulfate and Lamivudine EQ 60mg BASE / 30mg Tablet, for Suspension|Abacavir Sulfate / Lamivudine|Abacavir Sulfate and Lamivudine|Tablet, for Suspension|EQ 60mg BASE / 30mg
abacavir-sulfate-eq-20mg-base-ml-solution|Abacavir Sulfate EQ 20mg BASE/mL Solution|Abacavir Sulfate||Solution|EQ 20mg BASE/mL
abacavir-sulfate-eq-300mg-base-tablet|Abacavir Sulfate EQ 300mg BASE Tablet|Abacavir Sulfate||Tablet|EQ 300mg BASE
abacavir-sulfate-lamivudine-and-zidovudine-eq-300mg-base-150mg-300mg-tablet|Abacavir Sulfate, Lamivudine and Zidovudine EQ 300mg BASE / 150mg / 300mg Tablet|Abacavir Sulfate / Lamivudine / Zidovudine|Abacavir Sulfate, Lamivudine and Zidovudine|Tablet|EQ 300mg BASE / 150mg / 300mg
abanta-2-5mg-capsule|Abanta 2.5mg Capsule|Apixaban|Abanta|Capsule|2.5mg
abelcet-5mg-ml-injectable-lipid-complex|Abelcet 5mg/mL Injectable, Lipid Complex|Amphotericin B|Abelcet|Injectable, Lipid Complex|5mg/mL
abilify-10mg-federal-register-determination-that-product-was-not-discontinued-or|Abilify 10mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Orally Disintegrating|Aripiprazole|Abilify|Tablet, Orally Disintegrating|10mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abilify-10mg-tablet|Abilify 10mg Tablet|Aripiprazole|Abilify|Tablet|10mg
abilify-15mg-federal-register-determination-that-product-was-not-discontinued-or|Abilify 15mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Orally Disintegrating|Aripiprazole|Abilify|Tablet, Orally Disintegrating|15mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abilify-15mg-tablet|Abilify 15mg Tablet|Aripiprazole|Abilify|Tablet|15mg
abilify-1mg-ml-federal-register-determination-that-product-was-not-discontinued-|Abilify 1mg/mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Solution|Aripiprazole|Abilify|Solution|1mg/mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abilify-20mg-federal-register-determination-that-product-was-not-discontinued-or|Abilify 20mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Orally Disintegrating|Aripiprazole|Abilify|Tablet, Orally Disintegrating|20mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abilify-20mg-tablet|Abilify 20mg Tablet|Aripiprazole|Abilify|Tablet|20mg
abilify-2mg-tablet|Abilify 2mg Tablet|Aripiprazole|Abilify|Tablet|2mg
abilify-30mg-federal-register-determination-that-product-was-not-discontinued-or|Abilify 30mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Orally Disintegrating|Aripiprazole|Abilify|Tablet, Orally Disintegrating|30mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abilify-30mg-tablet|Abilify 30mg Tablet|Aripiprazole|Abilify|Tablet|30mg
abilify-5mg-tablet|Abilify 5mg Tablet|Aripiprazole|Abilify|Tablet|5mg
abilify-9-75mg-1-3ml-7-5mg-ml-injectable|Abilify 9.75mg/1.3mL (7.5mg/mL) Injectable|Aripiprazole|Abilify|Injectable|9.75mg/1.3mL (7.5mg/mL)
abilify-asimtufii-720mg-2-4ml-300mg-ml-suspension-extended-release|Abilify Asimtufii 720mg/2.4mL (300mg/mL) Suspension, Extended Release|Aripiprazole|Abilify Asimtufii|Suspension, Extended Release|720mg/2.4mL (300mg/mL)
abilify-asimtufii-960mg-3-2ml-300mg-ml-suspension-extended-release|Abilify Asimtufii 960mg/3.2mL (300mg/mL) Suspension, Extended Release|Aripiprazole|Abilify Asimtufii|Suspension, Extended Release|960mg/3.2mL (300mg/mL)
abilify-maintena-kit-300mg-for-suspension-extended-release|Abilify Maintena Kit 300mg For Suspension, Extended Release|Aripiprazole|Abilify Maintena Kit|For Suspension, Extended Release|300mg
abilify-maintena-kit-300mg-vial-for-suspension-extended-release|Abilify Maintena Kit 300mg/VIAL For Suspension, Extended Release|Aripiprazole|Abilify Maintena Kit|For Suspension, Extended Release|300mg/VIAL
abilify-maintena-kit-400mg-for-suspension-extended-release|Abilify Maintena Kit 400mg For Suspension, Extended Release|Aripiprazole|Abilify Maintena Kit|For Suspension, Extended Release|400mg
abilify-maintena-kit-400mg-vial-for-suspension-extended-release|Abilify Maintena Kit 400mg/VIAL For Suspension, Extended Release|Aripiprazole|Abilify Maintena Kit|For Suspension, Extended Release|400mg/VIAL
abilify-mycite-kit-10mg-tablet|Abilify Mycite Kit 10mg Tablet|Aripiprazole|Abilify Mycite Kit|Tablet|10mg
abilify-mycite-kit-15mg-tablet|Abilify Mycite Kit 15mg Tablet|Aripiprazole|Abilify Mycite Kit|Tablet|15mg
abilify-mycite-kit-20mg-tablet|Abilify Mycite Kit 20mg Tablet|Aripiprazole|Abilify Mycite Kit|Tablet|20mg
abilify-mycite-kit-2mg-tablet|Abilify Mycite Kit 2mg Tablet|Aripiprazole|Abilify Mycite Kit|Tablet|2mg
abilify-mycite-kit-30mg-tablet|Abilify Mycite Kit 30mg Tablet|Aripiprazole|Abilify Mycite Kit|Tablet|30mg
abilify-mycite-kit-5mg-tablet|Abilify Mycite Kit 5mg Tablet|Aripiprazole|Abilify Mycite Kit|Tablet|5mg
abiraterone-acetate-125mg-tablet|Abiraterone Acetate 125mg Tablet|Abiraterone Acetate||Tablet|125mg
abiraterone-acetate-250mg-tablet|Abiraterone Acetate 250mg Tablet|Abiraterone Acetate||Tablet|250mg
abiraterone-acetate-500mg-tablet|Abiraterone Acetate 500mg Tablet|Abiraterone Acetate||Tablet|500mg
abitrexate-eq-100mg-base-vial-injectable|Abitrexate EQ 100mg BASE/VIAL Injectable|Methotrexate Sodium|Abitrexate|Injectable|EQ 100mg BASE/VIAL
abitrexate-eq-250mg-base-vial-injectable|Abitrexate EQ 250mg BASE/VIAL Injectable|Methotrexate Sodium|Abitrexate|Injectable|EQ 250mg BASE/VIAL
abitrexate-eq-25mg-base-ml-injectable|Abitrexate EQ 25mg BASE/mL Injectable|Methotrexate Sodium|Abitrexate|Injectable|EQ 25mg BASE/mL
abitrexate-eq-50mg-base-vial-injectable|Abitrexate EQ 50mg BASE/VIAL Injectable|Methotrexate Sodium|Abitrexate|Injectable|EQ 50mg BASE/VIAL
ablavar-2440mg-10ml-244mg-ml-solution|Ablavar 2440mg/10mL (244mg/mL) Solution|Gadofosveset Trisodium|Ablavar|Solution|2440mg/10mL (244mg/mL)
ablavar-3660mg-15ml-244mg-ml-solution|Ablavar 3660mg/15mL (244mg/mL) Solution|Gadofosveset Trisodium|Ablavar|Solution|3660mg/15mL (244mg/mL)
ablysinol-99-1ml-federal-register-determination-that-product-was-not-discontinue|Ablysinol 99% (1mL) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Solution|Dehydrated Alcohol|Ablysinol|Solution|99% (1mL) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
ablysinol-99-5ml-solution|Ablysinol 99% (5mL) Solution|Dehydrated Alcohol|Ablysinol|Solution|99% (5mL)
abraxane-100mg-vial-powder|Abraxane 100mg/VIAL Powder|Paclitaxel|Abraxane|Powder|100mg/VIAL
abreva-10-cream|Abreva 10% Cream|Docosanol|Abreva|Cream|10%
abrilada-10mg-0-2ml-injectable|Abrilada 10mg/0.2mL Injectable|Adalimumab-Afzb|Abrilada|Injectable|10mg/0.2mL
abrilada-20mg-0-4ml-injectable|Abrilada 20mg/0.4mL Injectable|Adalimumab-Afzb|Abrilada|Injectable|20mg/0.4mL
abrilada-40mg-0-8ml-injectable|Abrilada 40mg/0.8mL Injectable|Adalimumab-Afzb|Abrilada|Injectable|40mg/0.8mL
absorica-10mg-capsule|Absorica 10mg Capsule|Isotretinoin|Absorica|Capsule|10mg
absorica-20mg-capsule|Absorica 20mg Capsule|Isotretinoin|Absorica|Capsule|20mg
absorica-25mg-capsule|Absorica 25mg Capsule|Isotretinoin|Absorica|Capsule|25mg
absorica-30mg-capsule|Absorica 30mg Capsule|Isotretinoin|Absorica|Capsule|30mg
absorica-35mg-capsule|Absorica 35mg Capsule|Isotretinoin|Absorica|Capsule|35mg
absorica-40mg-capsule|Absorica 40mg Capsule|Isotretinoin|Absorica|Capsule|40mg
absorica-ld-16mg-capsule|Absorica Ld 16mg Capsule|Isotretinoin|Absorica Ld|Capsule|16mg
absorica-ld-20mg-capsule|Absorica Ld 20mg Capsule|Isotretinoin|Absorica Ld|Capsule|20mg
absorica-ld-24mg-capsule|Absorica Ld 24mg Capsule|Isotretinoin|Absorica Ld|Capsule|24mg
absorica-ld-28mg-capsule|Absorica Ld 28mg Capsule|Isotretinoin|Absorica Ld|Capsule|28mg
absorica-ld-32mg-capsule|Absorica Ld 32mg Capsule|Isotretinoin|Absorica Ld|Capsule|32mg
absorica-ld-8mg-capsule|Absorica Ld 8mg Capsule|Isotretinoin|Absorica Ld|Capsule|8mg
abstral-eq-0-1mg-base-federal-register-determination-that-product-was-not-discon|Abstral EQ 0.1mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Fentanyl Citrate|Abstral|Tablet|EQ 0.1mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abstral-eq-0-2mg-base-federal-register-determination-that-product-was-not-discon|Abstral EQ 0.2mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Fentanyl Citrate|Abstral|Tablet|EQ 0.2mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abstral-eq-0-3mg-base-federal-register-determination-that-product-was-not-discon|Abstral EQ 0.3mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Fentanyl Citrate|Abstral|Tablet|EQ 0.3mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abstral-eq-0-4mg-base-federal-register-determination-that-product-was-not-discon|Abstral EQ 0.4mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Fentanyl Citrate|Abstral|Tablet|EQ 0.4mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abstral-eq-0-6mg-base-federal-register-determination-that-product-was-not-discon|Abstral EQ 0.6mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Fentanyl Citrate|Abstral|Tablet|EQ 0.6mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
abstral-eq-0-8mg-base-federal-register-determination-that-product-was-not-discon|Abstral EQ 0.8mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Fentanyl Citrate|Abstral|Tablet|EQ 0.8mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
acamprosate-calcium-333mg-tablet-delayed-release|Acamprosate Calcium 333mg Tablet, Delayed Release|Acamprosate Calcium||Tablet, Delayed Release|333mg
acanya-2-5-eq-1-2-base-gel|Acanya 2.5% / EQ 1.2% BASE Gel|Benzoyl Peroxide / Clindamycin Phosphate|Acanya|Gel|2.5% / EQ 1.2% BASE
acarbose-100mg-tablet|Acarbose 100mg Tablet|Acarbose||Tablet|100mg
acarbose-25mg-tablet|Acarbose 25mg Tablet|Acarbose||Tablet|25mg
acarbose-50mg-tablet|Acarbose 50mg Tablet|Acarbose||Tablet|50mg
accolate-10mg-tablet|Accolate 10mg Tablet|Zafirlukast|Accolate|Tablet|10mg
accolate-20mg-tablet|Accolate 20mg Tablet|Zafirlukast|Accolate|Tablet|20mg
accretropin-5mg-ml-5mg-ml-injectable|Accretropin 5mg/mL (5mg/mL) Injectable|Somatropin|Accretropin|Injectable|5mg/mL (5mg/mL)
accrufer-30mg-iron-capsule|Accrufer 30mg IRON Capsule|Ferric Maltol|Accrufer|Capsule|30mg IRON
accuneb-eq-0-021-base-federal-register-determination-that-product-was-not-discon|Accuneb EQ 0.021% BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Solution|Albuterol Sulfate|Accuneb|Solution|EQ 0.021% BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accuneb-eq-0-042-base-federal-register-determination-that-product-was-not-discon|Accuneb EQ 0.042% BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Solution|Albuterol Sulfate|Accuneb|Solution|EQ 0.042% BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accupril-eq-10mg-base-federal-register-determination-that-product-was-not-discon|Accupril EQ 10mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Quinapril Hydrochloride|Accupril|Tablet|EQ 10mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accupril-eq-20mg-base-federal-register-determination-that-product-was-not-discon|Accupril EQ 20mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Quinapril Hydrochloride|Accupril|Tablet|EQ 20mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accupril-eq-40mg-base-federal-register-determination-that-product-was-not-discon|Accupril EQ 40mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Quinapril Hydrochloride|Accupril|Tablet|EQ 40mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accupril-eq-5mg-base-federal-register-determination-that-product-was-not-discont|Accupril EQ 5mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Quinapril Hydrochloride|Accupril|Tablet|EQ 5mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accurbron-150mg-15ml-syrup|Accurbron 150mg/15mL Syrup|Theophylline|Accurbron|Syrup|150mg/15mL
accuretic-12-5mg-eq-10mg-base-federal-register-determination-that-product-was-no|Accuretic 12.5mg / EQ 10mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Hydrochlorothiazide / Quinapril Hydrochloride|Accuretic|Tablet|12.5mg / EQ 10mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accuretic-12-5mg-eq-20mg-base-federal-register-determination-that-product-was-no|Accuretic 12.5mg / EQ 20mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Hydrochlorothiazide / Quinapril Hydrochloride|Accuretic|Tablet|12.5mg / EQ 20mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accuretic-25mg-eq-20mg-base-federal-register-determination-that-product-was-not-|Accuretic 25mg / EQ 20mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Hydrochlorothiazide / Quinapril Hydrochloride|Accuretic|Tablet|25mg / EQ 20mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accutane-10mg-federal-register-determination-that-product-was-not-discontinued-o|Accutane 10mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Capsule|Isotretinoin|Accutane|Capsule|10mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accutane-20mg-federal-register-determination-that-product-was-not-discontinued-o|Accutane 20mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Capsule|Isotretinoin|Accutane|Capsule|20mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
accutane-40mg-federal-register-determination-that-product-was-not-discontinued-o|Accutane 40mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Capsule|Isotretinoin|Accutane|Capsule|40mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
acebutolol-hydrochloride-eq-200mg-base-capsule|Acebutolol Hydrochloride EQ 200mg BASE Capsule|Acebutolol Hydrochloride||Capsule|EQ 200mg BASE
acebutolol-hydrochloride-eq-400mg-base-capsule|Acebutolol Hydrochloride EQ 400mg BASE Capsule|Acebutolol Hydrochloride||Capsule|EQ 400mg BASE
aceon-2mg-tablet|Aceon 2mg Tablet|Perindopril Erbumine|Aceon|Tablet|2mg
aceon-4mg-tablet|Aceon 4mg Tablet|Perindopril Erbumine|Aceon|Tablet|4mg
aceon-8mg-tablet|Aceon 8mg Tablet|Perindopril Erbumine|Aceon|Tablet|8mg
acephen-120mg-suppository|Acephen 120mg Suppository|Acetaminophen|Acephen|Suppository|120mg
acephen-325mg-suppository|Acephen 325mg Suppository|Acetaminophen|Acephen|Suppository|325mg
acephen-650mg-suppository|Acephen 650mg Suppository|Acetaminophen|Acephen|Suppository|650mg
acetadote-6gm-30ml-200mg-ml-injectable|Acetadote 6GM/30mL (200mg/mL) Injectable|Acetylcysteine|Acetadote|Injectable|6GM/30mL (200mg/mL)
acetaminophen-120mg-suppository|Acetaminophen 120mg Suppository|Acetaminophen||Suppository|120mg
acetaminophen-1gm-100ml-10mg-ml-solution|Acetaminophen 1GM/100mL (10mg/mL) Solution|Acetaminophen||Solution|1GM/100mL (10mg/mL)
acetaminophen-1gm-vial-powder|Acetaminophen 1GM/VIAL Powder|Acetaminophen||Powder|1GM/VIAL
acetaminophen-325mg-suppository|Acetaminophen 325mg Suppository|Acetaminophen||Suppository|325mg
acetaminophen-500mg-50ml-10mg-ml-solution|Acetaminophen 500mg/50mL (10mg/mL) Solution|Acetaminophen||Solution|500mg/50mL (10mg/mL)
acetaminophen-650mg-federal-register-determination-that-product-was-not-disconti|Acetaminophen 650mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Suppository|Acetaminophen||Suppository|650mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
acetaminophen-650mg-suppository|Acetaminophen 650mg Suppository|Acetaminophen||Suppository|650mg
acetaminophen-650mg-tablet-extended-release|Acetaminophen 650mg Tablet, Extended Release|Acetaminophen||Tablet, Extended Release|650mg
acetaminophen-650mg-65ml-10mg-ml-solution|Acetaminophen 650mg/65mL (10mg/mL) Solution|Acetaminophen||Solution|650mg/65mL (10mg/mL)
acetaminophen-and-codeine-phosphate-120mg-5ml-12mg-5ml-solution|Acetaminophen and Codeine Phosphate 120mg/5mL / 12mg/5mL Solution|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Solution|120mg/5mL / 12mg/5mL
acetaminophen-and-codeine-phosphate-300mg-15mg-capsule|Acetaminophen and Codeine Phosphate 300mg / 15mg Capsule|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Capsule|300mg / 15mg
acetaminophen-and-codeine-phosphate-300mg-15mg-tablet|Acetaminophen and Codeine Phosphate 300mg / 15mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|300mg / 15mg
acetaminophen-and-codeine-phosphate-300mg-30mg-capsule|Acetaminophen and Codeine Phosphate 300mg / 30mg Capsule|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Capsule|300mg / 30mg
acetaminophen-and-codeine-phosphate-300mg-30mg-tablet|Acetaminophen and Codeine Phosphate 300mg / 30mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|300mg / 30mg
acetaminophen-and-codeine-phosphate-300mg-60mg-capsule|Acetaminophen and Codeine Phosphate 300mg / 60mg Capsule|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Capsule|300mg / 60mg
acetaminophen-and-codeine-phosphate-300mg-60mg-tablet|Acetaminophen and Codeine Phosphate 300mg / 60mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|300mg / 60mg
acetaminophen-and-codeine-phosphate-325mg-15mg-tablet|Acetaminophen and Codeine Phosphate 325mg / 15mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|325mg / 15mg
acetaminophen-and-codeine-phosphate-325mg-30mg-tablet|Acetaminophen and Codeine Phosphate 325mg / 30mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|325mg / 30mg
acetaminophen-and-codeine-phosphate-325mg-45mg-federal-register-determination-th|Acetaminophen and Codeine Phosphate 325mg / 45mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|325mg / 45mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
acetaminophen-and-codeine-phosphate-500mg-15mg-tablet|Acetaminophen and Codeine Phosphate 500mg / 15mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|500mg / 15mg
acetaminophen-and-codeine-phosphate-500mg-30mg-tablet|Acetaminophen and Codeine Phosphate 500mg / 30mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|500mg / 30mg
acetaminophen-and-codeine-phosphate-500mg-60mg-tablet|Acetaminophen and Codeine Phosphate 500mg / 60mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|500mg / 60mg
acetaminophen-and-codeine-phosphate-650mg-30mg-tablet|Acetaminophen and Codeine Phosphate 650mg / 30mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|650mg / 30mg
acetaminophen-and-codeine-phosphate-650mg-60mg-tablet|Acetaminophen and Codeine Phosphate 650mg / 60mg Tablet|Acetaminophen / Codeine Phosphate|Acetaminophen and Codeine Phosphate|Tablet|650mg / 60mg
acetaminophen-and-hydrocodone-bitartrate-500mg-5mg-capsule|Acetaminophen and Hydrocodone Bitartrate 500mg / 5mg Capsule|Acetaminophen / Hydrocodone Bitartrate|Acetaminophen and Hydrocodone Bitartrate|Capsule|500mg / 5mg
acetaminophen-and-ibuprofen-250mg-125mg-tablet|Acetaminophen and Ibuprofen 250mg / 125mg Tablet|Acetaminophen / Ibuprofen|Acetaminophen and Ibuprofen|Tablet|250mg / 125mg
acetaminophen-and-pentazocine-hydrochloride-650mg-eq-25mg-base-tablet|Acetaminophen and Pentazocine Hydrochloride 650mg / EQ 25mg BASE Tablet|Acetaminophen / Pentazocine Hydrochloride|Acetaminophen and Pentazocine Hydrochloride|Tablet|650mg / EQ 25mg BASE
acetaminophen-aspirin-and-caffeine-250mg-250mg-65mg-tablet|Acetaminophen, Aspirin and Caffeine 250mg / 250mg / 65mg Tablet|Acetaminophen / Aspirin / Caffeine|Acetaminophen, Aspirin and Caffeine|Tablet|250mg / 250mg / 65mg
acetaminophen-aspirin-and-codeine-phosphate-150mg-180mg-15mg-capsule|Acetaminophen, Aspirin, and Codeine Phosphate 150mg / 180mg / 15mg Capsule|Acetaminophen / Aspirin / Codeine Phosphate|Acetaminophen, Aspirin, and Codeine Phosphate|Capsule|150mg / 180mg / 15mg
acetaminophen-aspirin-and-codeine-phosphate-150mg-180mg-30mg-capsule|Acetaminophen, Aspirin, and Codeine Phosphate 150mg / 180mg / 30mg Capsule|Acetaminophen / Aspirin / Codeine Phosphate|Acetaminophen, Aspirin, and Codeine Phosphate|Capsule|150mg / 180mg / 30mg
acetaminophen-aspirin-and-codeine-phosphate-150mg-180mg-60mg-capsule|Acetaminophen, Aspirin, and Codeine Phosphate 150mg / 180mg / 60mg Capsule|Acetaminophen / Aspirin / Codeine Phosphate|Acetaminophen, Aspirin, and Codeine Phosphate|Capsule|150mg / 180mg / 60mg
acetaminophen-caffeine-and-dihydrocodeine-bitartrate-325mg-30mg-16mg-tablet|Acetaminophen, Caffeine and Dihydrocodeine Bitartrate 325mg / 30mg / 16mg Tablet|Acetaminophen / Caffeine / Dihydrocodeine Bitartrate|Acetaminophen, Caffeine and Dihydrocodeine Bitartrate|Tablet|325mg / 30mg / 16mg
acetaminophen-caffeine-and-dihydrocodeine-bitartrate-356-4mg-30mg-16mg-capsule|Acetaminophen, Caffeine, and Dihydrocodeine Bitartrate 356.4mg / 30mg / 16mg Capsule|Acetaminophen / Caffeine / Dihydrocodeine Bitartrate|Acetaminophen, Caffeine, and Dihydrocodeine Bitartrate|Capsule|356.4mg / 30mg / 16mg
